season,team,conference,win_pct,wins,losses,league_rank,lottery_seed,actual_pick,pick_jump,had_own_pick,pick_conveyed,pick_team,playoffs_next_year,playoffs_in_2yrs,playoffs_in_3yrs,years_to_playoffs,best_record_next_3yrs,made_playoffs_within_3yrs
2018-19,New York Knicks,Eastern,0.207,17,65,30,1,3,-2,1,0,New York Knicks,0,1,0,2,0.569,1
2018-19,Cleveland Cavaliers,Eastern,0.232,19,63,29,2,5,-3,1,0,Cleveland Cavaliers,0,0,0,4,0.537,0
2018-19,Phoenix Suns,Western,0.232,19,63,28,3,6,-3,1,0,Minnesota Timberwolves,0,1,1,2,0.78,1
2018-19,Chicago Bulls,Eastern,0.268,22,60,27,4,7,-3,1,0,Chicago Bulls,0,0,1,3,0.561,1
2018-19,Atlanta Hawks,Eastern,0.353,29,53,26,5,8,-3,1,0,New Orleans Pelicans,0,1,1,2,0.569,1
2018-19,Washington Wizards,Eastern,0.39,32,50,25,6,9,-3,1,0,Washington Wizards,0,1,0,2,0.472,1
2018-19,New Orleans Pelicans,Western,0.402,33,49,24,7,1,6,1,0,New Orleans Pelicans,0,0,1,3,0.439,1
2018-19,Memphis Grizzlies,Western,0.402,33,49,23,8,2,6,1,0,Memphis Grizzlies,0,1,1,2,0.683,1
2018-19,Dallas Mavericks,Western,0.402,33,49,22,9,10,-1,0,1,New Orleans Pelicans,1,1,1,1,0.634,1
2018-19,Minnesota Timberwolves,Western,0.439,36,46,21,10,11,-1,1,0,Minnesota Timberwolves,0,0,1,3,0.561,1
2018-19,Los Angeles Lakers,Western,0.451,37,45,20,11,4,7,1,0,Atlanta Hawks,1,1,0,1,0.732,1
2018-19,Charlotte Hornets,Eastern,0.476,39,43,19,12,12,0,1,0,Charlotte Hornets,0,0,0,NaN,0.524,0
2018-19,Miami Heat,Eastern,0.476,39,43,18,13,13,0,1,0,Miami Heat,1,1,1,1,0.646,1
2018-19,Sacramento Kings,Western,0.476,39,43,17,14,14,0,0,1,Boston Celtics,0,0,0,4,0.431,0
2019-20,Golden State Warriors,Western,0.231,15,50,30,1,2,-1,1,0,Golden State Warriors,0,1,1,2,0.646,1
2019-20,Cleveland Cavaliers,Eastern,0.292,19,46,29,2,5,-3,1,0,Cleveland Cavaliers,0,0,1,3,0.622,1
2019-20,Minnesota Timberwolves,Western,0.297,19,45,28,3,1,2,1,0,Minnesota Timberwolves,0,1,1,2,0.561,1
2019-20,Atlanta Hawks,Eastern,0.299,20,47,27,4,6,-2,1,0,Atlanta Hawks,1,1,1,1,0.569,1
2019-20,Detroit Pistons,Eastern,0.303,20,46,26,5,7,-2,1,0,Detroit Pistons,0,0,0,5,0.28,0
2019-20,New York Knicks,Eastern,0.318,21,45,25,6,8,-2,1,0,New York Knicks,1,0,1,1,0.573,1
2019-20,Chicago Bulls,Eastern,0.339,22,43,24,7,4,3,1,0,Chicago Bulls,0,1,0,2,0.561,1
2019-20,Charlotte Hornets,Eastern,0.35,23,42,23,8,3,5,1,0,Charlotte Hornets,0,0,0,NaN,0.524,0
2019-20,Washington Wizards,Eastern,0.375,24,40,22,9,9,0,1,0,Washington Wizards,1,0,0,1,0.472,1
2019-20,Phoenix Suns,Western,0.4,26,39,21,10,10,0,1,0,Phoenix Suns,1,1,1,1,0.78,1
2019-20,San Antonio Spurs,Western,0.429,27,36,20,11,11,0,1,0,San Antonio Spurs,0,0,0,6,0.458,0
2019-20,Sacramento Kings,Western,0.438,28,36,19,12,12,0,1,0,Sacramento Kings,0,0,1,3,0.585,1
2019-20,New Orleans Pelicans,Western,0.438,28,36,18,13,13,0,1,0,New Orleans Pelicans,0,1,0,2,0.512,1
2019-20,Memphis Grizzlies,Western,0.492,32,33,17,14,14,0,0,1,Boston Celtics,1,1,1,1,0.683,1
2020-21,Houston Rockets,Western,0.236,17,55,30,1,2,-1,1,0,Houston Rockets,0,0,0,4,0.5,0
2020-21,Detroit Pistons,Eastern,0.278,20,52,29,2,1,1,1,0,Detroit Pistons,0,0,0,4,0.28,0
2020-21,Orlando Magic,Eastern,0.292,21,51,28,3,5,-2,1,0,Orlando Magic,0,0,1,3,0.573,1
2020-21,Oklahoma City Thunder,Western,0.306,22,50,27,4,2,2,1,0,Oklahoma City Thunder,0,0,1,3,0.695,1
2020-21,Cleveland Cavaliers,Eastern,0.306,22,50,26,5,3,2,1,0,Cleveland Cavaliers,0,1,1,2,0.622,1
2020-21,Minnesota Timberwolves,Western,0.319,23,49,25,6,7,-1,0,1,Golden State Warriors,1,1,1,1,0.683,1
2020-21,Toronto Raptors,Eastern,0.375,27,45,24,7,4,3,1,0,Toronto Raptors,1,0,0,1,0.585,1
2020-21,Chicago Bulls,Eastern,0.431,31,41,23,8,8,0,0,1,Orlando Magic,1,0,0,1,0.561,1
2020-21,Sacramento Kings,Western,0.431,31,41,22,9,9,0,1,0,Sacramento Kings,0,1,0,2,0.585,1
2020-21,New Orleans Pelicans,Western,0.431,31,41,21,10,10,0,1,0,Memphis Grizzlies,1,0,1,1,0.598,1
2020-21,Charlotte Hornets,Eastern,0.458,33,39,20,11,11,0,1,0,Charlotte Hornets,0,0,0,NaN,0.524,0
2020-21,San Antonio Spurs,Western,0.458,33,39,19,12,12,0,1,0,San Antonio Spurs,1,1,1,5,0.415,0
2020-21,Indiana Pacers,Eastern,0.472,34,38,18,13,13,0,1,0,Indiana Pacers,0,0,1,3,0.573,1
2020-21,Golden State Warriors,Western,0.541,39,33,17,14,14,0,1,0,Golden State Warriors,1,1,0,1,0.646,1
2021-22,Houston Rockets,Western,0.244,20,62,30,1,3,-2,1,0,Houston Rockets,0,0,1,3,0.634,1
2021-22,Orlando Magic,Eastern,0.268,22,60,29,2,1,1,1,0,Orlando Magic,0,1,1,2,0.573,1
2021-22,Detroit Pistons,Eastern,0.281,23,59,28,3,5,-2,1,0,Detroit Pistons,0,0,1,3,0.537,1
2021-22,Oklahoma City Thunder,Western,0.293,24,58,27,4,2,2,1,0,Oklahoma City Thunder,0,1,1,2,0.829,1
2021-22,Indiana Pacers,Eastern,0.305,25,57,26,5,6,-1,1,0,Indiana Pacers,0,1,1,2,0.61,1
2021-22,Portland Trailblazers,Western,0.329,27,55,25,6,7,-1,1,0,Portland Trailblazers,0,0,0,4,0.439,0
2021-22,Sacramento Kings,Western,0.366,30,52,24,7,4,3,1,0,Sacramento Kings,1,0,0,1,0.585,1
2021-22,Los Angeles Lakers,Western,0.402,33,49,23,8,8,0,0,1,New Orleans Pelicans,1,1,1,1,0.61,1
2021-22,San Antonio Spurs,Western,0.415,34,48,22,9,9,0,1,0,San Antonio Spurs,0,0,0,4,0.415,0
2021-22,Washington Wizards,Eastern,0.427,35,47,21,10,10,0,1,0,Washington Wizards,0,0,0,NaN,0.427,0
